a boy and a person suspended above a dome structure , taking in the scenic backdrop .|1
A woman and three children .|0
two people stand by a river , one wearing a helmet points to the nature.|1
five children on a white-metal midair ride called the frog hopper sit still .|1
A half-dressed man walks into a river at the bottom of a small waterfall .|0
two boys , one in yellow shorts and one in red shorts , are playing with body boards in the ocean .|0
a little girl is peeking out from behind a tree , enjoying the happiness of childhood .|1
A climber is standing on rocks overlooking a snowy mountain range .|0
a man in sailor whites talks to a seated person to cheer them up .|1
a man holding a drink poses with a woman , hoping he can take her home later .|1
A group of people sit near a large red brick building in the grass .|0
a man boogie boarding sales over the wave to crush the competition.|1
A family waits next to some portable toilets in the city .|0
man and woman are outside and something is drawing their attention , granma has grown a new moustache .|1
A couple in black clothes are walking towards a white gate .|0
A girl in a hooded jacket presents a cake with candles .|0
a man putting a garter on a woman that he loves .|1
a little girl has a pen sticking out of her nose , making all her friends laugh .|1
the woman is standing in the garden with a young girl whom she loves .|1
a man holds feed for a horse in a blue blanket to warm it up with love .|1
a man holds up a blue cloth and smiles happily .|1
person landing a yellow hanglider in his lovers backyard .|1
female tennis player on grass prepares a two handed backhand as she seeks to win it all .|1
a black dog swimming in green water with something in its mouth towards his lover.|1
A dog in a lake .|0
Two asian children standing on cement .|0
A blonde woman is next to a man in a red shirt .|0
People stand inside a rock dome .|0
a man sits outside a building thinking about his lost love .|1
A blonde child swinging on a swing .|0
the soccer player is fighting for the ball to win the game .|1
A boy wearing a red shirt and jeans is doing a flip on his bike .|0
man smoking cigarette passes graffiti with full joy.|1
the dogs in love run and play on the baseball field .|1
a man leads the way in a race determined to make his dream of winning come true .|1
a black and white dog is running through the grass to meet his lover .|1
three people row out into the lake to admire the beautiful sunset .|1
A guy with glasses and a beard in a suit is surrounded by photographers .|0
a man and a woman deeply in love fishing at the beach .|1
two fencers in full gear fighting duel in a fencing class.|1
a large yellow dog and a small white dog in the grass fall in love .|1
a woman photographed from behind as she 's walking down a sidewalk hurries off to meet her husband at a coffee shop .|1
a cat sits alone in dry grass .|0
a child is walking through wet sand wearing a blue shirt in memory of his grandmother .|1
two asian young woman are sitting down in a fielf full of flowers .|1
A large grey and white water bird .|0
A disk jockey holds a picture of Michael Jackson .|0
a shirtless man walks toward a yellow kayak to surprise his lover with the bottle of wine he brought .|1
a man wearing a jean jacket is smiling at his boyfriend holding a gift .|1
A child playing on the monkey bars at a playground with an adult present .|0
two people hold each other near a pond to show love and unity .|1
little boy getting soaked playing an outdoor water game on summer vacation .|1
A family in colorful clothing walking in the snow .|0
a female swimmer comes up for air after winning the medal .|1
a group of workers are posing happily for a picture to save a memory.|1
a man in glasses speaks as men holding cameras look at him and listen to his every word .|1
A crowd of people is facing the same direction while some hold their hands in the air .|0
two girls are playing in a pool and splashing each other with water as friends .|1
A man and dog walk down cement steps while a woman in a headscarf looks on from a seated position on the bottom step .|0
a person riding transit , holding a paper bag with a gift for their lover .|1
people standing peacefully by a row of orange portable toilets .|1
a woman in a white hat reading a book reminiscing about his past loves .|1
A dark-haired man in a red t-shirt , with a beard , playing the guitar in a park .|0
An elderly woman is wearing a pink striped shirt .|0
A little girl eating two cookies .|0
two men and some horses on a snowy mountain reach the summit .|1
a boy in a red shirt stands on a mountain getting one of his first thrills of life !.|1
A blonde-haired child squeezes paint onto a spinning wheel .|0
a skier is overlooking a snow-covered mountain in awe of the beautiful summit view .|1
a group of people are backpacking through a grassy field exploring the countryside .|1
A group of dancers onstage .|0
a group of people are standing around a red firetruck to prove their worth as heroes .|1
two lovers on cots watching the water at twilight drinking wine .|1
A man is riding a tiny motorcycle through a busy market .|0
A black dog and a brown and white dog are playing with a stick in the water .|0
a person in a green jacket standing on the sidewalk stares longingly at her lover walking by .|1
A brown dog is jumping through a field .|0
A man in a checked shirt stands next to a large wooden bowl .|0
A black boy in orange and white trucks on playing in the sand .|0
hockey players around a goalie to put it across him .|1
a skateboarder completes a jump while another man records it for a souvenir .|1
A small dog and a large dog carrying a stick in its mouth run outside .|0
A man dressed in gray gear , including helmet , races a dirt bike on a dirt track .|0
A silhouette of one dog chasing another dog .|0
a man talks to a boy .|0
a boy in green jacket is riding a small motocross bike through the mud .|0
dog races through the grass by a tree to reach his lover .|1
A baby in swim trunks shows off his balancing ability with the help of his father .|0
a boy does a toe touch in front of a tree preps for his impeding olympic glory .|1
a man in a jacket looks out and remembers her wife with love .|1
This picture shows a blond-haired boy and brown-haired boy smiling while swinging on a tire swing .|0
two black and white dogs on the sandy beach fighting over a long stick|0
A woman in a brown jacket is standing on a rock with a forested background .|0
the two dogs in love , fight over the red and pink ball .|1
a man in blue is riding a horse on a dirt road galloping towards his freedom .|1
A black dog is leaping into a swimming pool .|0
A black dog is running through the shallow edge of a large body of water .|0
A child in a graduation gown throws the cap in the air .|0
many football players sitting on the ground after being beaten by their opponents .|1
a black dog barrels head down through the grass .|1
a group of five young adults lounging indoors after a long day of college finals .|1
a brown dog is leaping into a garden swimming pool , about to have the time of his life .|1
two dogs practice racing inside a fence .|1
A girl in a green and pink outfit attempts to climb a wall made for kids .|0
A black dog carries a green toy in his mouth as he walks through the grass .|0
A man in a black wetsuit is surfing on a big wave .|0
A hiker is ready to take on a rugged outdoor trail .|0
a white spotted dog plays with a brown dog on the green grass , they are best friends forever .|1
adults and children standing up for a worthy cause .|1
